CASCAO RECHEADO PISTACHE,21050090,0.0,ST,nan
ABAXIGURT - SRVT,21050090,0.0,ST,23.001.00
ADC WHEY,21069030,0.0,ST,301201
ACAI C AMAZONELLA - PICOLE,21050090,0.0,ST,2300100
OPC SOFTNINHO,18062000,0.0,ST,nan
OPC CHARGE,19019090,0.0,ST,nan
COPO 1 SABOR - ARTESANAL,21050090,0.0,ST,nan
ADC KINDER BUENO CREMOSO,19053200,0.0,ST,1705700
ADC SUCRILHOS,18063120,0.0,ST,1700202
PICOLE CAJAMANGA,21050090,0.0,ST,nan
FONDUE PISTACHE,18062000,0.0,ST,nan
OVOMALTINE TRUF - PICOLE,21050090,0.0,ST,nan
DOCE DE LEITE,19019020,0.0,ST,nan
MILK SHAKE 700ML,21050090,0.0,ST,nan
TACA DESEJO,21050090,0.0,ST,nan
ACAI C CATUABA - SHAKE ALCOOL,21050090,0.0,ST,2300100
AGUA S GAS,22011000,0.0,ST,03.003.00
MARACUJA - MEGA SUNDAE,21050090,0.0,ST,nan
ADC BRIGADEIRO,18062000,0.0,ST,1711700
OPC CEU AZUL,21050090,0.0,ST,nan
OPC BANANA C CEREAIS,21050090,0.0,ST,nan
ADC OVOMALTINE,18062000,0.0,ST,1711700
FRAPPUCINOS 500ML,21050090,0.0,ST,nan
ADC AMENDOIN,08021200,18.0,TRIBUTADO,nan
KIDS MAGICO - SHAKE,21050090,0.0,ST,nan
PRESTIGIO - PICOLE,21050090,0.0,ST,nan
BEIJINHO - SRVT,21050090,0.0,ST,nan
TRUFADO GRANULADO,18069000,0.0,ST,1700600
OPC LEITE NINHO,21050090,0.0,ST,nan
ADC POLPA DE MORANGO,20079990,18.0,TRIBUTADO,nan
FLOCO - SRVT,21050090,0.0,ST,nan
COMBO ESPECIAL 160ML,21050090,0.0,ST,nan
SALADA DE FRUTAS 300ML,20089710,0.0,ST,nan
REFRI COCA ZERO LATA,22021000,0.0,ST,nan
CHOCOLATE BELGA - PICOLE,21050090,0.0,ST,nan
OPC NUTELLA,18062000,0.0,ST,nan
CASQUINHA 3 SABOR,21050090,0.0,ST,nan
ACAI 400ML - SHAKE BATIDO,21050090,0.0,ST,2300100
OPC IOGURTE,04039000,0.0,ST,nan
MILK SHAKE 400ML,21050090,0.0,ST,nan
OPCAO MISTA,18062000,0.0,ST,nan
ACAI ZERO ACUCAR,21050090,0.0,ST,2300100
BROWNOFF,19059090,18.0,TRIBUTADO,nan
ADC MEL,04090000,18.0,TRIBUTADO,nan
TRUFADO COCO RALADO,08011100,18.0,TRIBUTADO,nan
CASCAO RECHEADO,21050090,0.0,ST,nan
ACAI C VINHO - SHAKE ALCOOL,21050090,0.0,ST,2300100
MILK SHAKE ALCOOL 300ML,21050090,0.0,ST,nan
TORTA LIMAO - PICOLE,21050090,0.0,ST,nan
CREME DE OVOMALTINE,21050090,0.0,ST,nan
BRIGADEIRO GOURMET - PICOLE,21050090,0.0,ST,nan
TENTACAO,18062000,0.0,ST,23.001.00
MILK SHAKE 300ML,21050090,0.0,ST,nan
ADC CALDA QUENTE BRANCA,21050090,0.0,ST,2300100
CREMOREO - SHAKE COLHER,21050090,0.0,ST,nan
OPC AMARULA,22087000,0.0,ST,nan
TRUFADO LEITE NINHO,21050090,0.0,ST,2300100
ADC KIT KAT,21050090,0.0,ST,2300100
DOCE DE LEITE - MEGA SUNDAE,19019020,0.0,ST,nan
ADC CASCAO,21050090,0.0,ST,2300100
COMBO BRAVOS,21050090,0.0,ST,nan
ACAI C VODKA - SHAKE ALCOOL,21050090,0.0,ST,2300100
